Date,ACWI
Mar 30  2018,505.8
Apr 30  2018,509.7
May 31  2018,508.8
Jun 29  2018,505.2
Jul 31  2018,519.8
Aug 31  2018,522.9
Sep 28  2018,524.3
Oct 31  2018,484.6
Nov 30  2018,490.9
Dec 31  2018,455.7
Jan 31  2019,491.2
Feb 28  2019,503.5
Mar 29  2019,508.5
Apr 30  2019,524.8
May 31  2019,492.1
Jun 28  2019,523.4
Jul 31  2019,524.4
Aug 30  2019,510.9
Sep 30  2019,520.7
Oct 31  2019,534.4
Nov 29  2019,546.7
Dec 31  2019,565.2
Jan 31  2020,558.6
Feb 28  2020,512.8
Mar 31  2020,442.3
Apr 30  2020,489.2
May 29  2020,509.5
Jun 30  2020,524.9
Jul 31  2020,551.9
Aug 31  2020,584.9
Sep 30  2020,565.1
Oct 30  2020,551.0
Nov 30  2020,618.3
Dec 31  2020,646.3
Jan 29  2021,642.9
Feb 26  2021,657.1
Mar 31  2021,673.3
Apr 30  2021,701.8
May 31  2021,711.5
Jun 30  2021,720.0
Jul 30  2021,724.2
Aug 31  2021,741.3
Sep 30  2021,709.5
Oct 29  2021,745.2
Nov 30  2021,726.5
Dec 31  2021,754.8
Jan 31  2022,717.4
Feb 28  2022,698.0
Mar 31  2022,711.6
Apr 29  2022,653.7
May 31  2022,652.8
Jun 30  2022,596.8
Jul 29  2022,637.7
Aug 31  2022,613.1
Sep 30  2022,553.4
Oct 31  2022,586.4
Nov 30  2022,630.9
Dec 30  2022,605.4
Jan 31  2023,648.4
Feb 28  2023,629.0
Mar 31  2023,646.8
