Issuer,RIC,Exchange,TRBC Sector,Type of Equity,Currency,Ex-Dividend Date,ISIN,CUSIP/CINS,SEDOL
Tesla Inc,TSLA.O,NASDAQ Global Select Consolidated,Electric (Alternative) Vehicles,Ordinary Share,US Dollar,,US88160R1014,88160R101,
NVIDIA Corp,NVDA.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),Ordinary Share,US Dollar,5/09/2023,US67066G1040,67066G104,
Microsoft Corp,MSFT.O,NASDAQ Global Select Consolidated,Software (NEC),Ordinary Share,US Dollar,14/11/2023,US5949181045,594918104,
Apple Inc,AAPL.O,NASDAQ Global Select Consolidated,Phones & Smart Phones,Ordinary Share,US Dollar,9/11/2023,US0378331005,037833100,
Amazon.com Inc,AMZN.O,NASDAQ Global Select Consolidated,Internet & Mail Order Department Stores,Ordinary Share,US Dollar,,US0231351067,023135106,
Advanced Micro Devices Inc,AMD.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),Ordinary Share,US Dollar,26/04/1995,US0079031078,007903107,
Meta Platforms Inc,META.O,NASDAQ Global Select Consolidated,Social Media & Networking,Ordinary Share,US Dollar,,US30303M1027,30303M102,
Berkshire Hathaway Inc,BRKa,NYSE Consolidated,Consumer Goods Conglomerates,Ordinary Share,US Dollar,,US0846701086,084670108,
Alphabet Inc,GOOGL.O,NASDAQ Global Select Consolidated,Search Engines,Ordinary Share,US Dollar,2/04/2014,US02079K3059,02079K305,
Alibaba Group Holding Ltd,BABA.K,NYSE Consolidated,E-commerce & Auction Services,American Depository Receipt,US Dollar,19/12/2023,US01609W1027,01609W102,
Lasertec Corp,6920.T,Tokyo Stock Exchange,Semiconductor Testing Equipment & Service,Ordinary Share,Japanese Yen,26/06/2024,JP3979200007,J38702106,6506267
Broadcom Inc,AVGO.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),Ordinary Share,US Dollar,19/09/2023,US11135F1012,11135F101,
Walmart Inc,WMT,NYSE Consolidated,Food Retail & Distribution (NEC),Ordinary Share,US Dollar,6/12/2023,US9311421039,931142103,
Intel Corp,INTC.O,NASDAQ Global Select Consolidated,Semiconductors (NEC),Ordinary Share,US Dollar,5/11/2023,US4581401001,458140100,
Palo Alto Networks Inc,PANW.O,NASDAQ Global Select Consolidated,Security Software,Ordinary Share,US Dollar,,US6974351057,697435105,
Visa Inc,V,NYSE Consolidated,Internet Security & Transactions Services,Ordinary Share,US Dollar,7/11/2023,US92826C8394,92826C839,
Exxon Mobil Corp,XOM,NYSE Consolidated,Oil & Gas Refining and Marketing (NEC),Ordinary Share,US Dollar,13/11/2023,US30231G1022,30231G102,
Cisco Systems Inc,CSCO.O,NASDAQ Global Select Consolidated,Communications & Networking (NEC),Ordinary Share,US Dollar,2/01/2024,US17275R1023,17275R102,
Eli Lilly and Co,LLY,NYSE Consolidated,Pharmaceuticals (NEC),Ordinary Share,US Dollar,13/11/2023,US5324571083,532457108,
Netflix Inc,NFLX.O,NASDAQ Global Select Consolidated,Online Services (NEC),Ordinary Share,US Dollar,,US64110L1061,64110L106,
Target Corp,TGT,NYSE Consolidated,Discount Stores (NEC),Ordinary Share,US Dollar,13/11/2023,US87612E1064,87612E106,
Palantir Technologies Inc,PLTR.K,NYSE Consolidated,Software (NEC),Ordinary Share,US Dollar,,US69608A1088,69608A108,
Chevron Corp,CVX,NYSE Consolidated,Oil & Gas Exploration and Production (NEC),Ordinary Share,US Dollar,15/11/2023,US1667641005,166764100,
