Security Name;Identifier;;;
The Kraft Heinz Company;KHC;;;
Mondelez International, Inc.;MDLZ;;;
The Coca-Cola Company;KO;;;
PepsiCo, Inc.;PEP;;;
Archer-Daniels-Midland Company;ADM;;;
US Foods Holding Corp.;USFD;;;
Keurig Dr Pepper Inc.;KDP;;;
Monster Beverage Corporation;MNST;;;
General Mills, Inc.;GIS;;;
Molson Coors Beverage Company;TAP;;;
Constellation Brands, Inc. (Class A);STZ;;;
The Hershey Company;HSY;;;
Kellanova;K;;;
Campbell Soup Company;CPB;;;
Hormel Foods Corporation;HRL;;;
Lamb Weston Holdings, Inc.;LW;;;
Coca-Cola Consolidated Inc.;COKE;;;
McCormick & Company, Incorporated;MKC;;;
Darling Ingredients Inc.;DAR;;;
Post Holdings, Inc.;POST;;;
Brown-Forman Corporation;BF/B;;;
Ingredion Incorporated;INGR;;;
BellRing Brands, Inc.;BRBR;;;
The Boston Beer Company, Inc.;SAM;;;
J & J Snack Foods Corp.;JJSF;;;
The Simply Good Foods Company;SMPL;;;
National Beverage Corp.;FIZZ;;;
Bunge Global S.A.;BG;;;
Celsius Holdings, Inc.;CELH;;;
US Dollar;$USD;;;
;;;;
