,ERP,SMB,HML,RMW,CMA,RF
201804,0.28,0.93,0.54,-2.42,1.3,0.14
201805,2.65,4.73,-3.2,-2.04,-1.5,0.14
201806,0.48,0.8,-2.34,0.79,0.24,0.14
201807,3.19,-1.93,0.47,1.56,0.35,0.16
201808,3.44,0.64,-3.94,-0.31,-2.7,0.16
201809,0.06,-2.48,-1.7,0.63,1.29,0.15
201810,-7.68,-4.46,3.4,0.94,3.59,0.19
201811,1.69,-0.77,0.3,-0.55,0.39,0.18
201812,-9.57,-2.88,-1.84,-0.02,0.21,0.2
201901,8.4,3.03,-0.46,-0.8,-1.51,0.21
201902,3.4,1.74,-2.67,0.12,-1.59,0.18
201903,1.1,-3.51,-4.17,0.9,-0.95,0.19
201904,3.97,-1.17,2.15,1.61,-2.22,0.21
201905,-6.94,-1.59,-2.37,-0.46,1.77,0.21
201906,6.93,0.37,-0.71,0.9,-0.44,0.18
201907,1.19,-1.78,0.48,-0.08,0.36,0.19
201908,-2.58,-3.24,-4.78,0.56,-0.68,0.16
201909,1.43,0.27,6.75,1.84,3.37,0.18
201910,2.06,0.26,-1.91,0.44,-0.96,0.16
201911,3.87,0.44,-2.02,-1.59,-1.24,0.12
201912,2.77,0.97,1.75,0.01,1.24,0.14
202001,-0.11,-4.38,-6.25,-1.17,-2.32,0.13
202002,-8.13,0.04,-3.81,-1.47,-2.51,0.12
202003,-13.39,-8.28,-13.87,-1.57,1.24,0.13
202004,13.65,2.56,-1.33,2.72,-1,0
202005,5.58,1.97,-4.88,0.95,-3.26,0.01
202006,2.46,1.96,-2.2,0.09,0.54,0.01
202007,5.77,-3.2,-1.41,0.41,1.02,0.01
202008,7.63,-0.89,-2.97,4.28,-1.19,0.01
202009,-3.63,0.01,-2.71,-1.36,-1.85,0.01
202010,-2.1,4.64,4.25,-0.83,-0.78,0.01
202011,12.47,7.11,2.09,-2.2,1.4,0.01
202012,4.63,4.79,-1.51,-1.96,-0.12,0.01
202101,-0.03,6.94,3.01,-3.78,4.94,0.01
202102,2.78,4.54,7.15,0.39,-1.94,0
202103,3.08,-0.88,7.39,6.36,3.42,0
202104,4.93,-3.16,-0.95,2.44,-2.7,0
202105,0.29,1.22,7.09,2.45,3.04,0
202106,2.75,-0.34,-7.87,-2.14,-0.94,0
202107,1.27,-4.61,-1.78,5.46,-0.52,0
202108,2.91,-0.68,-0.15,-0.28,-1.79,0
202109,-4.37,1.12,5.08,-1.96,2.1,0
202110,6.65,-2.7,-0.49,1.66,-1.45,0
202111,-1.55,-1.77,-0.45,7.2,1.73,0
202112,3.1,-0.8,3.26,4.91,4.4,0.01
202201,-6.25,-4.06,12.75,0.84,7.72,0
202202,-2.29,2.92,3.08,-2.09,3.12,0
202203,3.05,-2.17,-1.81,-1.53,3.14,0.01
202204,-9.46,-0.39,6.17,3.52,5.89,0.01
202205,-0.34,-0.06,8.39,1.56,3.97,0.03
202206,-8.43,1.3,-5.97,1.81,-4.69,0.06
202207,9.57,1.82,-4.05,0.82,-6.83,0.08
202208,-3.77,1.52,0.29,-4.75,1.29,0.19
202209,-9.35,-1.05,0.05,-1.51,-0.8,0.19
202210,7.83,1.89,8.01,3.34,6.64,0.23
202211,4.6,-2.74,1.38,6.38,3.18,0.29
202212,-6.41,-0.15,1.37,0.25,4.2,0.33
202301,6.65,4.41,-4.01,-2.44,-4.47,0.35
202302,-2.58,0.66,-0.81,1.01,-1.33,0.34
202303,2.51,-6.94,-8.85,2.24,-2.37,0.36
